Date,WCS- Sales_Accessories,Ordered Units_Accessories,Ship Charge_Accessories,Ship Tax Amount_Accessories,Tax Amount_Accessories,Total Shipping Cost_Accessories,Discount_Accessories,WCS- Sales_Footwear,Ordered Units_Footwear,Ship Charge_Footwear,Ship Tax Amount_Footwear,Tax Amount_Footwear,Total Shipping Cost_Footwear,Discount_Footwear,WCS- Sales_Apparel,Ordered Units_Apparel,Ship Charge_Apparel,Ship Tax Amount_Apparel,Tax Amount_Apparel,Total Shipping Cost_Apparel,Discount_Apparel,WCS- Sales_Custom,Ordered Units_Custom,Ship Charge_Custom,Ship Tax Amount_Custom,Tax Amount_Custom,Total Shipping Cost_Custom,Discount_Custom,WCS- Sales_Equipment,Ordered Units_Equipment,Ship Charge_Equipment,Ship Tax Amount_Equipment,Tax Amount_Equipment,Total Shipping Cost_Equipment,Discount_Equipment,WCS- Sales_Other,Ordered Units_Other,Ship Charge_Other,Ship Tax Amount_Other,Tax Amount_Other,Total Shipping Cost_Other,Discount_Other, # of Orders , # of Page Views ,YoY Product Views %,YoY Units %,YoY Sales USD %,YoY Visitors %,YoY Page Views %,YoY Avg. Unit Retail %, # of Product Views , # of Units , # of Visitors , Sales (USD) ,YoY Avg. Order Value %,Conversion Rate,YoY Conv Rate %,YoY Orders %, AUR , AOV 
2014-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528, -   ,,,,,,, -   ,741,"79,562"," $72,704.89 ",,0.66%,,, $98.12 , $137.70 
2014-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676, -   ,,,,,,, -   ,958,"95,160"," $95,303.42 ",,0.71%,,, $99.48 , $140.98 
2014-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667, -   ,,,,,,, -   ,912,"90,603"," $93,321.68 ",,0.74%,,, $102.33 , $139.91 
2014-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603, -   ,,,,,,, -   ,802,"92,275"," $86,770.02 ",,0.65%,,, $108.19 , $143.90 
2014-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729, -   ,,,,,,, -   ,"1,022","101,520"," $105,032.88 ",,0.72%,,, $102.77 , $144.08 
2014-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664, -   ,,,,,,, -   ,947,"85,710"," $96,476.09 ",,0.77%,,, $101.88 , $145.30 
2014-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589, -   ,,,,,,, -   ,831,"81,054"," $83,032.68 ",,0.73%,,, $99.92 , $140.97 
2014-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549, -   ,,,,,,, -   ,782,"79,944"," $78,991.55 ",,0.69%,,, $101.01 , $143.88 
2014-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,922", -   ,,,,,,, -   ,"4,297","126,224"," $234,138.65 ",,1.52%,,, $54.49 , $121.82 
2014-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,343", -   ,,,,,,, -   ,"3,009","96,505"," $174,084.30 ",,1.39%,,, $57.85 , $129.62 
2014-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,064", -   ,,,,,,, -   ,"2,260","89,620"," $151,219.61 ",,1.19%,,, $66.91 , $142.12 
2014-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,359", -   ,,,,,,, -   ,"5,306","104,915"," $331,821.53 ",,1.30%,,, $62.54 , $244.17 
2014-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,434", -   ,,,,,,, -   ,"15,809","161,766"," $1,091,369.22 ",,3.36%,,, $69.03 , $200.84 
2014-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655, -   ,,,,,,, -   ,"1,016","99,018"," $88,794.27 ",,0.66%,,, $87.40 , $135.56 
2014-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637, -   ,,,,,,, -   ,"1,009","78,177"," $82,265.49 ",,0.81%,,, $81.53 , $129.15 
2014-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752, -   ,,,,,,, -   ,"1,274","82,626"," $93,594.68 ",,0.91%,,, $73.47 , $124.46 
2014-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631, -   ,,,,,,, -   ,968,"66,037"," $81,009.24 ",,0.96%,,, $83.69 , $128.38 
2014-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595, -   ,,,,,,, -   ,980,"67,218"," $78,170.14 ",,0.89%,,, $79.77 , $131.38 
2014-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694, -   ,,,,,,, -   ,"1,144","78,550"," $85,444.46 ",,0.88%,,, $74.69 , $123.12 
2014-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,215", -   ,,,,,,, -   ,"1,892","89,224"," $127,611.86 ",,1.36%,,, $67.45 , $105.03 
2014-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746, -   ,,,,,,, -   ,"1,122","75,889"," $91,309.63 ",,0.98%,,, $81.38 , $122.40 
2014-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871, -   ,,,,,,, -   ,"1,280","83,501"," $115,958.93 ",,1.04%,,, $90.59 , $133.13 
2014-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677, -   ,,,,,,, -   ,"1,082","80,639"," $94,628.81 ",,0.84%,,, $87.46 , $139.78 
2014-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595, -   ,,,,,,, -   ,959,"69,822"," $80,577.32 ",,0.85%,,, $84.02 , $135.42 
2014-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557, -   ,,,,,,, -   ,837,"72,622"," $71,885.40 ",,0.77%,,, $85.88 , $129.06 
2014-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760, -   ,,,,,,, -   ,"1,183","82,963"," $102,783.67 ",,0.92%,,, $86.88 , $135.24 
2014-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581, -   ,,,,,,, -   ,919,"70,362"," $81,451.18 ",,0.83%,,, $88.63 , $140.19 
2014-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598, -   ,,,,,,, -   ,980,"70,711"," $90,193.19 ",,0.85%,,, $92.03 , $150.82 
2014-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561, -   ,,,,,,, -   ,899,"70,381"," $79,264.03 ",,0.80%,,, $88.17 , $141.29 
2014-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710, -   ,,,,,,, -   ,"1,377","76,157"," $99,214.14 ",,0.93%,,, $72.05 , $139.74 
2014-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562, -   ,,,,,,, -   ,984,"58,440"," $75,557.99 ",,0.96%,,, $76.79 , $134.44 
2014-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424, -   ,,,,,,, -   ,604,"59,729"," $60,138.14 ",,0.71%,,, $99.57 , $141.84 
2014-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473, -   ,,,,,,, -   ,650,"66,274"," $65,282.93 ",,0.71%,,, $100.44 , $138.02 
2014-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571, -   ,,,,,,, -   ,787,"64,888"," $79,690.24 ",,0.88%,,, $101.26 , $139.56 
2014-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559, -   ,,,,,,, -   ,723,"71,184"," $75,961.89 ",,0.79%,,, $105.06 , $135.89 
2014-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661, -   ,,,,,,, -   ,831,"74,468"," $88,770.26 ",,0.89%,,, $106.82 , $134.30 
2014-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675, -   ,,,,,,, -   ,998,"74,214"," $92,470.89 ",,0.91%,,, $92.66 , $136.99 
2014-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576, -   ,,,,,,, -   ,864,"59,530"," $79,086.44 ",,0.97%,,, $91.54 , $137.30 
2014-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568, -   ,,,,,,, -   ,822,"62,520"," $79,145.04 ",,0.91%,,, $96.28 , $139.34 
2014-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728, -   ,,,,,,, -   ,"1,076","76,514"," $98,655.42 ",,0.95%,,, $91.69 , $135.52 
2014-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711, -   ,,,,,,, -   ,958,"69,009"," $98,653.79 ",,1.03%,,, $102.98 , $138.75 
2014-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618, -   ,,,,,,, -   ,892,"70,583"," $85,700.49 ",,0.88%,,, $96.08 , $138.67 
2014-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592, -   ,,,,,,, -   ,855,"60,491"," $83,972.86 ",,0.98%,,, $98.21 , $141.85 
2014-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852, -   ,,,,,,, -   ,"1,255","86,878"," $111,785.42 ",,0.98%,,, $89.07 , $131.20 
2014-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680, -   ,,,,,,, -   ,945,"65,185"," $88,128.94 ",,1.04%,,, $93.26 , $129.60 
2014-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668, -   ,,,,,,, -   ,878,"70,003"," $85,903.57 ",,0.95%,,, $97.84 , $128.60 
2014-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819, -   ,,,,,,, -   ,"1,099","80,578"," $114,539.88 ",,1.02%,,, $104.22 , $139.85 
2014-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773, -   ,,,,,,, -   ,"1,017","72,340"," $101,192.09 ",,1.07%,,, $99.50 , $130.91 
2014-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574, -   ,,,,,,, -   ,833,"67,923"," $83,503.82 ",,0.85%,,, $100.24 , $145.48 
2014-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493, -   ,,,,,,, -   ,686,"57,042"," $69,546.42 ",,0.86%,,, $101.38 , $141.07 
2014-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491, -   ,,,,,,, -   ,680,"57,706"," $70,596.17 ",,0.85%,,, $103.82 , $143.78 
2014-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440, -   ,,,,,,, -   ,600,"49,950"," $58,603.27 ",,0.88%,,, $97.67 , $133.19 
2014-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388, -   ,,,,,,, -   ,532,"50,503"," $54,033.11 ",,0.77%,,, $101.57 , $139.26 
2014-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518, -   ,,,,,,, -   ,747,"62,526"," $76,188.81 ",,0.83%,,, $101.99 , $147.08 
2014-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450, -   ,,,,,,, -   ,607,"51,909"," $62,162.75 ",,0.87%,,, $102.41 , $138.14 
2014-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457, -   ,,,,,,, -   ,645,"55,420"," $64,715.98 ",,0.82%,,, $100.33 , $141.61 
2014-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466, -   ,,,,,,, -   ,680,"58,036"," $67,898.48 ",,0.80%,,, $99.85 , $145.70 
2014-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454, -   ,,,,,,, -   ,664,"51,581"," $66,526.33 ",,0.88%,,, $100.19 , $146.53 
2014-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504, -   ,,,,,,, -   ,758,"55,755"," $71,296.02 ",,0.90%,,, $94.06 , $141.46 
2014-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489, -   ,,,,,,, -   ,696,"56,088"," $60,665.02 ",,0.87%,,, $87.16 , $124.06 
2014-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449, -   ,,,,,,, -   ,710,"54,113"," $64,319.14 ",,0.83%,,, $90.59 , $143.25 
2014-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463, -   ,,,,,,, -   ,688,"55,010"," $68,569.13 ",,0.84%,,, $99.66 , $148.10 
2014-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410, -   ,,,,,,, -   ,557,"58,129"," $54,876.38 ",,0.71%,,, $98.52 , $133.84 
2014-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422, -   ,,,,,,, -   ,592,"49,979"," $62,067.03 ",,0.84%,,, $104.84 , $147.08 
2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420, -   ,,,,,,, -   ,607,"52,010"," $60,949.00 ",,0.81%,,, $100.41 , $145.12 
2014-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367, -   ,,,,,,, -   ,546,"42,832"," $53,587.01 ",,0.86%,,, $98.14 , $146.01 
2014-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362, -   ,,,,,,, -   ,515,"42,659"," $51,794.72 ",,0.85%,,, $100.57 , $143.08 
2014-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451, -   ,,,,,,, -   ,647,"50,857"," $65,160.08 ",,0.89%,,, $100.71 , $144.48 
2014-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401, -   ,,,,,,, -   ,627,"45,613"," $59,910.01 ",,0.88%,,, $95.55 , $149.40 
2014-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376, -   ,,,,,,, -   ,514,"46,735"," $53,648.36 ",,0.80%,,, $104.37 , $142.68 
2014-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366, -   ,,,,,,, -   ,509,"40,920"," $52,203.66 ",,0.89%,,, $102.56 , $142.63 
2014-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405, -   ,,,,,,, -   ,611,"47,814"," $57,630.12 ",,0.85%,,, $94.32 , $142.30 
2014-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374, -   ,,,,,,, -   ,589,"46,604"," $50,992.73 ",,0.80%,,, $86.58 , $136.34 
2014-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342, -   ,,,,,,, -   ,532,"40,591"," $45,054.89 ",,0.84%,,, $84.69 , $131.74 
2014-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360, -   ,,,,,,, -   ,560,"44,032"," $50,767.17 ",,0.82%,,, $90.66 , $141.02 
2014-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510, -   ,,,,,,, -   ,755,"47,784"," $67,385.34 ",,1.07%,,, $89.25 , $132.13 
2014-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334, -   ,,,,,,, -   ,488,"41,036"," $44,600.50 ",,0.81%,,, $91.39 , $133.53 
2014-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377, -   ,,,,,,, -   ,596,"43,468"," $53,608.76 ",,0.87%,,, $89.95 , $142.20 
2014-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404, -   ,,,,,,, -   ,578,"44,190"," $52,138.16 ",,0.91%,,, $90.20 , $129.05 
2014-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441, -   ,,,,,,, -   ,715,"44,817"," $53,953.57 ",,0.98%,,, $75.46 , $122.34 
2014-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387, -   ,,,,,,, -   ,575,"40,092"," $50,000.19 ",,0.97%,,, $86.96 , $129.20 
2014-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479, -   ,,,,,,, -   ,693,"46,427"," $56,398.49 ",,1.03%,,, $81.38 , $117.74 
2014-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371, -   ,,,,,,, -   ,569,"41,138"," $51,034.90 ",,0.90%,,, $89.69 , $137.56 
2014-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340, -   ,,,,,,, -   ,517,"43,043"," $51,512.36 ",,0.79%,,, $99.64 , $151.51 
2014-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291, -   ,,,,,,, -   ,460,"41,235"," $41,549.19 ",,0.71%,,, $90.32 , $142.78 
2014-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364, -   ,,,,,,, -   ,612,"44,885"," $56,879.42 ",,0.81%,,, $92.94 , $156.26 
2014-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304, -   ,,,,,,, -   ,472,"37,678"," $43,126.24 ",,0.81%,,, $91.37 , $141.86 
2014-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303, -   ,,,,,,, -   ,495,"37,907"," $41,583.35 ",,0.80%,,, $84.01 , $137.24 
2014-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414, -   ,,,,,,, -   ,635,"47,353"," $56,082.82 ",,0.87%,,, $88.32 , $135.47 
2014-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349, -   ,,,,,,, -   ,532,"39,578"," $49,246.38 ",,0.88%,,, $92.57 , $141.11 
2014-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371, -   ,,,,,,, -   ,638,"45,197"," $51,567.55 ",,0.82%,,, $80.83 , $139.00 
2014-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362, -   ,,,,,,, -   ,576,"42,068"," $54,490.89 ",,0.86%,,, $94.60 , $150.53 
2014-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418, -   ,,,,,,, -   ,686,"47,044"," $64,915.84 ",,0.89%,,, $94.63 , $155.30 
2014-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418, -   ,,,,,,, -   ,712,"44,308"," $56,464.67 ",,0.94%,,, $79.30 , $135.08 
2014-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401, -   ,,,,,,, -   ,665,"40,413"," $56,977.53 ",,0.99%,,, $85.68 , $142.09 
2014-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483, -   ,,,,,,, -   ,796,"49,269"," $65,418.31 ",,0.98%,,, $82.18 , $135.44 
2014-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480, -   ,,,,,,, -   ,726,"41,122"," $65,872.09 ",,1.17%,,, $90.73 , $137.23 
2014-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441, -   ,,,,,,, -   ,723,"44,027"," $61,172.75 ",,1.00%,,, $84.61 , $138.71 
2014-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380, -   ,,,,,,, -   ,606,"37,509"," $51,436.04 ",,1.01%,,, $84.88 , $135.36 
2014-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437, -   ,,,,,,, -   ,665,"43,686"," $58,127.38 ",,1.00%,,, $87.41 , $133.01 
2014-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367, -   ,,,,,,, -   ,591,"36,862"," $51,605.76 ",,1.00%,,, $87.32 , $140.62 
2014-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337, -   ,,,,,,, -   ,540,"33,379"," $47,158.10 ",,1.01%,,, $87.33 , $139.94 
2014-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409, -   ,,,,,,, -   ,681,"42,651"," $57,997.93 ",,0.96%,,, $85.17 , $141.80 
2014-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420, -   ,,,,,,, -   ,697,"37,796"," $58,107.81 ",,1.11%,,, $83.37 , $138.35 
2014-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458, -   ,,,,,,, -   ,760,"51,242"," $62,653.58 ",,0.89%,,, $82.44 , $136.80 
2014-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394, -   ,,,,,,, -   ,624,"39,744"," $58,011.75 ",,0.99%,,, $92.97 , $147.24 
2014-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418, -   ,,,,,,, -   ,729,"44,656"," $62,438.31 ",,0.94%,,, $85.65 , $149.37 
2014-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380, -   ,,,,,,, -   ,648,"39,358"," $52,238.74 ",,0.97%,,, $80.62 , $137.47 
2014-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319, -   ,,,,,,, -   ,500,"35,643"," $43,126.89 ",,0.89%,,, $86.25 , $135.19 
2014-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365, -   ,,,,,,, -   ,638,"41,023"," $50,433.33 ",,0.89%,,, $79.05 , $138.17 
2014-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417, -   ,,,,,,, -   ,668,"39,308"," $54,298.14 ",,1.06%,,, $81.28 , $130.21 
2014-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366, -   ,,,,,,, -   ,592,"43,863"," $48,824.11 ",,0.83%,,, $82.47 , $133.40 
2014-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373, -   ,,,,,,, -   ,695,"38,901"," $54,025.18 ",,0.96%,,, $77.73 , $144.84 
2014-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378, -   ,,,,,,, -   ,667,"42,970"," $52,344.12 ",,0.88%,,, $78.48 , $138.48 
2014-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370, -   ,,,,,,, -   ,641,"39,112"," $48,277.80 ",,0.95%,,, $75.32 , $130.48 
2014-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376, -   ,,,,,,, -   ,723,"35,823"," $50,654.68 ",,1.05%,,, $70.06 , $134.72 
2014-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464, -   ,,,,,,, -   ,879,"44,568"," $65,134.35 ",,1.04%,,, $74.10 , $140.38 
2014-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432, -   ,,,,,,, -   ,776,"38,486"," $56,706.38 ",,1.12%,,, $73.08 , $131.26 
2014-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396, -   ,,,,,,, -   ,742,"40,570"," $54,977.82 ",,0.98%,,, $74.09 , $138.83 
2014-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374, -   ,,,,,,, -   ,622,"35,829"," $50,221.81 ",,1.04%,,, $80.74 , $134.28 
2014-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431, -   ,,,,,,, -   ,819,"40,331"," $57,253.23 ",,1.07%,,, $69.91 , $132.84 
2014-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336, -   ,,,,,,, -   ,701,"33,113"," $51,090.74 ",,1.01%,,, $72.88 , $152.06 
2014-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321, -   ,,,,,,, -   ,536,"33,793"," $40,394.42 ",,0.95%,,, $75.36 , $125.84 
2014-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604, -   ,,,,,,, -   ,"1,092","45,169"," $70,241.42 ",,1.34%,,, $64.32 , $116.29 
2014-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515, -   ,,,,,,, -   ,940,"43,898"," $61,388.14 ",,1.17%,,, $65.31 , $119.20 
2014-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406, -   ,,,,,,, -   ,756,"41,894"," $55,984.22 ",,0.97%,,, $74.05 , $137.89 
2014-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289, -   ,,,,,,, -   ,547,"38,974"," $40,055.01 ",,0.74%,,, $73.23 , $138.60 
2014-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420, -   ,,,,,,, -   ,847,"41,193"," $56,137.69 ",,1.02%,,, $66.28 , $133.66 
2014-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320, -   ,,,,,,, -   ,704,"32,677"," $43,393.70 ",,0.98%,,, $61.64 , $135.61 
2014-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319, -   ,,,,,,, -   ,642,"37,393"," $45,314.56 ",,0.85%,,, $70.58 , $142.05 
