MrrChangeFe,Mrr Change
TicketsOpenedInSpecialTimeWindowFe,Tickets Opened (exc.)
TicketsOpenedInSpecialTimeWindowFlagFe,Tickets Opened (exc. Flag)
DailyGBIndexedPerAverageFeePaidFe,Daily GB Indexed Per Average Fee Paid
DailyGBIndexedPerRecentFeePaidFe,Daily GB Indexed Per Recent Fee Paid
TotalNumOfAlertDefinitionsPerAverageFeePaidFe,Total Num Of Alert Definitions Per Average Fee Paid
TotalNumOfAlertDefinitionsPerRecentFeePaidFe,Total Num Of Alert Definitions Per Recent Fee Paid
TotalNumOfDashboardsPerAverageFeePaidFe,Total Num Of Dashboards Per Average Fee Paid
TotalNumOfDashboardsPerRecentFeePaidFe,Total Num Of Dashboards Per Recent Fee Paid
MaxQueryTimePerAverageFeePaidFe,Max Query Time Per Average Fee Paid
MaxQueryTimePerRecentFeePaidFe,Max Query Time Per Recent Fee Paid
NumOfQueriesPerAverageFeePaidFe,Num Of Queries Per Average Fee Paid
NumOfQueriesPerRecentFeePaidFe,Num Of Queries Per Recent Fee Paid
AvgQueryTimePerAverageFeePaidFe,Avg Query Time Per Average Fee Paid
AvgQueryTimePerRecentFeePaidFe,Avg Query Time Per Recent Fee Paid
DailyGbArchivedPerAverageFeePaidFe,Daily Gb Archived Per Average Fee Paid
DailyGbArchivedPerRecentFeePaidFe,Daily Gb Archived Per Recent Fee Paid
DailyGbByPlanPerAverageFeePaidFe,Daily Gb By Plan Per Average Fee Paid
DailyGbByPlanPerRecentFeePaidFe,Daily Gb By Plan Per Recent Fee Paid
DailyGbIndexedAllClustersPerAverageFeePaidFe,Daily Gb Indexed All Clusters Per Average Fee Paid
DailyGbIndexedAllClustersPerRecentFeePaidFe,Daily Gb Indexed All Clusters Per Recent Fee Paid
DailyGbIndexedWithSubAccountsPerAverageFeePaidFe,Daily Gb Indexed With Sub Accounts Per Average Fee Paid
DailyGbIndexedWithSubAccountsPerRecentFeePaidFe,Daily Gb Indexed With Sub Accounts Per Recent Fee Paid
DailyGbReceivedPerAverageFeePaidFe,Daily Gb Received Per Average Fee Paid
DailyGbReceivedPerRecentFeePaidFe,Daily Gb Received Per Recent Fee Paid
DailyGbRecivedWithSubAccountsPerAverageFeePaidFe,Daily Gb Recived With Sub Accounts Per Average Fee Paid
DailyGbRecivedWithSubAccountsPerRecentFeePaidFe,Daily Gb Recived With Sub Accounts Per Recent Fee Paid
DailyNumOfActiveUsersPerAverageFeePaidFe,Daily Num Of Active Users Per Average Fee Paid 
DailyNumOfActiveUsersPerRecentFeePaidFe,Daily Num Of Active Users Per Recent Fee Paid 
DailyNumOfDocDroppedPerAverageFeePaidFe,Daily Num Of Doc Dropped Per Average Fee Paid
DailyNumOfDocDroppedPerRecentFeePaidFe,Daily Num Of Doc Dropped Per Recent Fee Paid
DailyNumOfFailedQueriesPerAverageFeePaidFe,Daily Num Of Failed Queries Per Average Fee Paid
DailyNumOfFailedQueriesPerRecentFeePaidFe,Daily Num Of Failed Queries Per Recent Fee Paid
DailyNumOfIncomingLogsPerAverageFeePaidFe,Daily Num Of Incoming Logs Per Average Fee Paid
DailyNumOfIncomingLogsPerRecentFeePaidFe,Daily Num Of Incoming Logs Per Recent Fee Paid
DailyNumOfLagsLatenciesPerAverageFeePaidFe,Daily Num Of Lags Latencies Per Average Fee Paid
DailyNumOfLagsLatenciesPerRecentFeePaidFe,Daily Num Of Lags Latencies Per Recent Fee Paid
DailyNumOfSuccessSearchesPerAverageFeePaidFe,Daily Num Of Success Searches Per Average Fee Paid
DailyNumOfSuccessSearchesPerRecentFeePaidFe,Daily Num Of Success Searches Per Recent Fee Paid
DailyNumOfTimesLogsSuspendedArchivingPerAverageFeePaidFe,Daily Num Of Times Logs Suspended Archiving Per Average Fee Paid
DailyNumOfTimesLogsSuspendedArchivingPerRecentFeePaidFe,Daily Num Of Times Logs Suspended Archiving Per Recent Fee Paid
DailyNumOfTimesLogsSuspendedIndexingPerAverageFeePaidFe,Daily Num Of Times Logs Suspended Indexing Per Average Fee Paid
DailyNumOfTimesLogsSuspendedIndexingPerRecentFeePaidFe,Daily Num Of Times Logs Suspended Indexing Per Recent Fee Paid
DailyParentRemainingGbPerAverageFeePaidFe,Daily Parent Remaining Gb Per Average Fee Paid
DailyParentRemainingGbPerRecentFeePaidFe,Daily Parent Remaining Gb Per Recent Fee Paid
TotalGbUsedPerAverageFeePaidFe,Total Gb Used Per Average Fee Paid
TotalGbUsedPerRecentFeePaidFe,Total Gb Used Per Recent Fee Paid
TotalNumOfAlertEndpointPerAverageFeePaidFe,Total Num Of Alert Endpoint Per Average Fee Paid
TotalNumOfAlertEndpointPerRecentFeePaidFe,Total Num Of Alert Endpoint Per Recent Fee Paid
TotalNumOfAlertsOnAggDefinedPerAverageFeePaidFe,Total Num Of Alerts On Agg Defined Per Average Fee Paid
TotalNumOfAlertsOnAggDefinedPerRecentFeePaidFe,Total Num Of Alerts On Agg Defined Per Recent Fee Paid
TotalNumOfDataparsingDefinedPerAverageFeePaidFe,Total Num Of Dataparsing Defined Per Average Fee Paid
TotalNumOfDataparsingDefinedPerRecentFeePaidFe,Total Num Of Dataparsing Defined Per Recent Fee Paid
TotalNumOfOptimizersDefinedPerAverageFeePaidFe,Total Num Of Optimizers Defined Per Average Fee Paid
TotalNumOfOptimizersDefinedPerRecentFeePaidFe,Total Num Of Optimizers Defined Per Recent Fee Paid
TotalNumOfSavedSearchesPerAverageFeePaidFe,Total Num Of Saved Searches Per Average Fee Paid
TotalNumOfSavedSearchesPerRecentFeePaidFe,Total Num Of Saved Searches Per Recent Fee Paid
TotalNumOfSubAccountsPerAverageFeePaidFe,Total Num Of Sub Accounts Per Average Fee Paid
TotalNumOfSubAccountsPerRecentFeePaidFe,Total Num Of Sub Accounts Per Recent Fee Paid
TotalNumOfTimelessAccountsPerAverageFeePaidFe,Total Num Of Timeless Accounts Per Average Fee Paid
TotalNumOfTimelessAccountsPerRecentFeePaidFe,Total Num Of Timeless Accounts Per Recent Fee Paid
TotalNumOfTokensDefinedPerAverageFeePaidFe,Total Num Of Tokens Defined Per Average Fee Paid
TotalNumOfTokensDefinedPerRecentFeePaidFe,Total Num Of Tokens Defined Per Recent Fee Paid
TotalNumOfUsersPerAverageFeePaidFe,Total Num Of Users Per Average Fee Paid
TotalNumOfUsersPerRecentFeePaidFe,Total Num Of Users Per Recent Fee Paid
TotalNumOfVisualizationsPerAverageFeePaidFe,Total Num Of Visualizations Per Average Fee Paid
TotalNumOfVisualizationsPerRecentFeePaidFe,Total Num Of Visualizations Per Recent Fee Paid
TotalNumberOfElkAppsPerAverageFeePaidFe,Total Number Of Elk Apps Per Average Fee Paid
TotalNumberOfElkAppsPerRecentFeePaidFe,Total Number Of Elk Apps Per Recent Fee Paid
TotalNumberOfShardsPerAverageFeePaidFe,Total Number Of Shards Per Average Fee Paid
TotalNumberOfShardsPerRecentFeePaidFe,Total Number Of Shards Per Recent Fee Paid
